NAME 1,NAME 2
Dr. Stephen Strange,Groot
Dr. Stephen Strange,Rocket
Dr. Stephen Strange,Pepper Potts
Dr. Stephen Strange,Thanos
Dr. Stephen Strange,Peter Quill / Star-Lord
Dr. Stephen Strange,Thaddeus Ross
Dr. Stephen Strange,Shuri
Dr. Stephen Strange,Cull Obsidian
Dr. Stephen Strange,Ebony Maw
Dr. Stephen Strange,Proxima Midnight
Dr. Stephen Strange,Corvus Glaive
Dr. Stephen Strange,M'Baku
Dr. Stephen Strange,Ayo
Dr. Stephen Strange,Ned
Dr. Stephen Strange,Gamora's Mother
Dr. Stephen Strange,Johann Schmidt / Red Skull
Dr. Stephen Strange,Nick Fury
Dr. Stephen Strange,Agent Maria Hill
Dr. Stephen Strange,The Collector
Dr. Stephen Strange,Friday
Dr. Stephen Strange,Cindy
Dr. Stephen Strange,Sally
Dr. Stephen Strange,Tiny
Dr. Stephen Strange,Stan Lee
Peter Parker / Spider-Man,T'Challa / Black Panther
Peter Parker / Spider-Man,Gamora
Peter Parker / Spider-Man,Nebula
Peter Parker / Spider-Man,Loki
Peter Parker / Spider-Man,Vision
Peter Parker / Spider-Man,Wanda Maximoff / Scarlet Witch
Peter Parker / Spider-Man,Sam Wilson / Falcon
Peter Parker / Spider-Man,Bucky Barnes / Winter Soldier
